белить	бел:ROOT/ить:SUFF
белобрысый	бел:ROOT/обрысый:SUFF
белозубый	бел:ROOT/озубый:SUFF
белок	бел:ROOT/ок:SUFF
белолицый	бел:ROOT/олицый:SUFF
белолобый	бел:ROOT/олобый:SUFF
белоручка	бел:ROOT/оручка:SUFF
белорыбица	бел:ROOT/орыбица:SUFF
белохвостый	бел:ROOT/охвостый:SUFF
белошвейка	бел:ROOT/ошвейка:SUFF
белуга	бел:ROOT/уга:SUFF
белужий	бел:ROOT/ужий:SUFF
белый	бел:ROOT/ый:SUFF
побелка	по:PREF/бел:ROOT/ка:SUFF
берёза	берёз:ROOT/а:SUFF
берёзин	берёз:ROOT/ин:SUFF
берёзка	берёз:ROOT/ка:SUFF
берёзкин	берёз:ROOT/кин:SUFF
берёзовый	берёз:ROOT/овый:SUFF
берёзонька	берёз:ROOT/онька:SUFF
берёзонькин	берёз:ROOT/онькин:SUFF
берёзочка	берёз:ROOT/очка:SUFF
берёзушка	берёз:ROOT/ушка:SUFF
подберёзовик	под:PREF/берёз:ROOT/овик:SUFF
бойница	бой:ROOT/ница:SUFF
бойня	бой:ROOT/ня:SUFF
бойцовский	бой:ROOT/цовский:SUFF
бойцовый	бой:ROOT/цовый:SUFF
болезненный	бол:ROOT/езненный:SUFF
болезнь	бол:ROOT/езнь:SUFF
болельщик	бол:ROOT/ельщик:SUFF
болеть	бол:ROOT/еть:SUFF
болеющий	бол:ROOT/еющий:SUFF
больница	бол:ROOT/ьница:SUFF
больничка	бол:ROOT/ьничка:SUFF
больничный	бол:ROOT/ьничный:SUFF
больно	бол:ROOT/ьно:SUFF
больной	бол:ROOT/ьной:SUFF
болячка	бол:ROOT/ячка:SUFF
заболевание	за:PREF/бол:ROOT/евание:SUFF
заболеть	за:PREF/бол:ROOT/еть:SUFF
переболеть	пере:PREF/бол:ROOT/еть:SUFF
братан	брат:ROOT/ан:SUFF
братание	брат:ROOT/ание:SUFF
братец	брат:ROOT/ец:SUFF
братик	брат:ROOT/ик:SUFF
братишка	брат:ROOT/ишка:SUFF
братия	брат:ROOT/ия:SUFF
браток	брат:ROOT/ок:SUFF
братск	брат:ROOT/ск:SUFF
братский	брат:ROOT/ский:SUFF
братство	брат:ROOT/ство:SUFF
по-братски	по-:PREF/брат:ROOT/ски:SUFF
собрат	со:PREF/брат:ROOT
азбука	аз:PREF/бук:ROOT/а:SUFF
буква	бук:ROOT/ва:SUFF
буквальный	бук:ROOT/вальный:SUFF
букварик	бук:ROOT/варик:SUFF
букварный	бук:ROOT/варный:SUFF
букварь	бук:ROOT/варь:SUFF
буквенный	бук:ROOT/венный:SUFF
буквоед	бук:ROOT/воед:SUFF
букинист	бук:ROOT/инист:SUFF
буковка	бук:ROOT/овка:SUFF
веселить	весел:ROOT/ить:SUFF
веселиться	весел:ROOT/иться:SUFF
весело	весел:ROOT/о:SUFF
веселье	весел:ROOT/ье:SUFF
весельчак	весел:ROOT/ьчак:SUFF
веселящийся	весел:ROOT/ящийся:SUFF
веселёшенька	весел:ROOT/ёшенька:SUFF
повеселеть	по:PREF/весел:ROOT/еть:SUFF
повеселиться	по:PREF/весел:ROOT/иться:SUFF
развеселить	раз:PREF/весел:ROOT/ить:SUFF
весна	весн:ROOT/а:SUFF
весной	весн:ROOT/ой:SUFF
веснушечка	весн:ROOT/ушечка:SUFF
веснушки	весн:ROOT/ушки:SUFF
веснушчатый	весн:ROOT/ушчатый:SUFF
веснянка	весн:ROOT/янка:SUFF
весняночка	весн:ROOT/яночка:SUFF
вода	вод:ROOT/а:SUFF
водица	вод:ROOT/ица:SUFF
водичка	вод:ROOT/ичка:SUFF
водный	вод:ROOT/ный:SUFF
водовоз	вод:ROOT/овоз:SUFF
водоворот	вод:ROOT/оворот:SUFF
водолаз	вод:ROOT/олаз:SUFF
водопад	вод:ROOT/опад:SUFF
водопой	вод:ROOT/опой:SUFF
водопровод	вод:ROOT/опро:SUFF
водохлёб	вод:ROOT/охлёб:SUFF
водоём	вод:ROOT/оём:SUFF
водянка	вод:ROOT/янка:SUFF
водяной	вод:ROOT/яной:SUFF
наводнение	на:PREF/вод:ROOT/нение:SUFF
паводок	па:PREF/вод:ROOT/ок:SUFF
подводник	под:PREF/вод:ROOT/ник:SUFF
подводный	под:PREF/вод:ROOT/ный:SUFF
