Слово,Корень,root
белить,бел,бел
белобрысый,бел,бел
белозубый,бел,бел
белок,бел,бел
белолицый,бел,бел
белолобый,бел,бел
белоручка,бел,бел
белорыбица,бел,бел
белохвостый,бел,бел
белошвейка,бел,бел
белуга,бел,бел
белужий,бел,бел
белый,бел,бел
побелка,бел,бел
березина,берёз,берёз
березняк,берёз,берёз
берёза,берёз,берёз
берёзин,берёз,берёз
берёзка,берёз,берёз
берёзкин,берёз,берёз
берёзовый,берёз,берёз
берёзонька,берёз,берёз
берёзонькин,берёз,берёз
берёзочка,берёз,берёз
берёзушка,берёз,берёз
подберёзовик,берёз,берёз
боевик,бой,бой
боевитость,бой,бой
боевой,бой,бой
боеголовка,бой,бой
боеприпасы,бой,бой
боеспособный,бой,бой
боец,бой,бой
бойница,бой,бой
бойня,бой,бой
бойцовский,бой,бой
бойцовый,бой,бой
боёк,бой,бой
болезненный,бол,бол
болезнь,бол,бол
болельщик,бол,бол
болеть,бол,бол
болеющий,бол,бол
больница,бол,бол
больничка,бол,бол
больничный,бол,бол
больно,бол,бол
больной,бол,бол
болячка,бол,бол
заболевание,бол,бол
заболеть,бол,бол
переболеть,бол,бол
братан,брат,брат
братание,брат,брат
братец,брат,брат
братик,брат,брат
братишка,брат,брат
братия,брат,брат
браток,брат,брат
братск,брат,брат
братский,брат,брат
братство,брат,брат
по-братски,брат,брат
собрат,брат,брат
азбука,бук,бук
азбучный,бук,бук
буква,бук,бук
буквальный,бук,бук
букварик,бук,бук
букварный,бук,бук
букварь,бук,бук
буквенный,бук,бук
буквоед,бук,бук
букинист,бук,бук
буковка,бук,бук
веселить,весел,весел
веселиться,весел,весел
весело,весел,весел
веселье,весел,весел
весельчак,весел,весел
веселящийся,весел,весел
веселёшенька,весел,весел
весёленький,весел,весел
весёлость,весел,весел
весёлый,весел,весел
повеселеть,весел,весел
повеселиться,весел,весел
развеселить,весел,весел
развесёлый,весел,весел
весенний,весн,весн
весна,весн,весн
весной,весн,весн
веснушечка,весн,весн
веснушки,весн,весн
веснушчатый,весн,весн
веснянка,весн,весн
весняночка,весн,весн
вешний,весн,весн
по-весеннему,весн,весн
вода,вод,вод
водица,вод,вод
водичка,вод,вод
водный,вод,вод
водовоз,вод,вод
водоворот,вод,вод
водолаз,вод,вод
водопад,вод,вод
водопой,вод,вод
водопровод,вод,вод
водохлёб,вод,вод
водоём,вод,вод
водянка,вод,вод
водяной,вод,вод
движение,вод,вод
наводнение,вод,вод
паводок,вод,вод
подводник,вод,вод
подводный,вод,вод
воробей,вороб,вороб
воробейчик,вороб,вороб
воробышек,вороб,вороб
воробьиная,вороб,вороб
воробьиха,вороб,вороб
воробьишка,вороб,вороб
воробьята,вороб,вороб
воробьятник,вороб,вороб
воробьёнок,вороб,вороб
ворон,ворон,ворон
ворона,ворон,ворон
вороний,ворон,ворон
воронушка,ворон,ворон
вороньё,ворон,ворон
воронята,ворон,ворон
воронёнок,ворон,ворон
воронёночек,ворон,ворон
проворонить,ворон,ворон
главный,голов,голов
голова,голов,голов
головастик,голов,голов
головища,голов,голов
головка,голов,голов
головной,голов,голов
головоломка,голов ,голов 
головомойка,голов,голов
головонька,голов,голов
головорез,голов,голов
головотяп,голов,голов
головушка,голов,голов
головёнка,голов,голов
заглавие,голов,голов
заголовок,голов,голов
оглавление,голов,голов
поголовно,голов,голов
трёхголовый,голов,голов
впроголодь,голод,голод
голод,голод,голод
голодание,голод,голод
голодать,голод,голод
голодающий,голод,голод
голодно,голод,голод
голодный,голод,голод
голодовка,голод,голод
голодуха,голод,голод
изголодаться,голод,голод
гласность,голос,голос
гласный,голос,голос
голосина,голос,голос
голосистый,голос,голос
голосить,голос,голос
голосишко,голос,голос
голосище,голос,голос
голосование,голос,голос
голосовать,голос,голос
голосовой,голос,голос
голосок,голос,голос
огласка,голос,голос
подголосок,голос,голос
согласный,голос,голос
горе,гор,гор
горевать,гор,гор
горемыка,гор,гор
горемычный,гор,гор
горестный,гор,гор
горесть,гор,гор
горькие,гор,гор
горюн,гор,гор
горюшко,гор,гор
пригорюниться,гор,гор
грачата,грач,грач
грачик,грач,грач
грачиный,грач,грач
грачиха,грач,грач
грачишка,грач,грач
грачище,грач,грач
грачовник,грач,грач
грачонок,грач,грач
гружёный,груз,груз
груз,груз,груз
грузило,груз,груз
грузить,груз,груз
грузный,груз,груз
грузовик,груз,груз
грузчик,груз,груз
нагрузка,груз,груз
отгружать,груз,груз
перегрузка,груз,груз
погрузка,груз,груз
разгрузить,груз,груз
гусак,гус_1,гус
гусыня,гус_1,гус
гуськом,гус_1,гус
гусята,гус_1,гус
гусятница,гус_1,гус
гусёнок,гус_1,гус
гусёночек,гус_1,гус
гусиный,гус_1,гус
дворец,двор,двор
дворецкий,двор,двор
дворик,двор,двор
дворник,двор,двор
дворня,двор,двор
дворняжка,двор,двор
дворовый,двор,двор
дворцовый,двор,двор
дворянин,двор,двор
надворный,двор,двор
подворье,двор,двор
придворный,двор,двор
добренький,добр,добр
добро,добр,добр
добровольно,добр,добр
добровольный,добр,добр
добродетель,добр,добр
добродетельный,добр,добр
добродушный,добр,добр
добросердечный,добр,добр
добросовестно,добр,добр
добросовестный,добр,добр
доброта,добр,добр
добрый,добр,добр
добрыня,добр,добр
добряк,добр,добр
задобрить,добр,добр
подобреть,добр,добр
бездомный,дом,дом
домик,дом,дом
домина,дом,дом
домишко,дом,дом
домище,дом,дом
домовитый,дом,дом
домовладелец,дом,дом
домовладение,дом,дом
домоводство,дом,дом
домовой,дом,дом
домосед,дом,дом
домострой,дом,дом
домохозяйка,дом,дом
домочадец,дом,дом
домработница,дом,дом
домушник,дом,дом
надомник,дом,дом
друг,друж,друж
дружеский,друж,друж
дружественный,друж,друж
дружина,друж,друж
дружинник,друж,друж
дружить,друж,друж
дружище,друж,друж
