,Lemma
8015,год
49992,человек
5955,время
9304,дело
11456,жизнь
9392,день
39785,рука
37505,раз
37358,работа
42086,слово
20669,место
19293,лицо
10701,друг
7824,глаз
5558,вопрос
10282,дом
44072,сторона
44114,страна
21031,мир
42151,случай
8055,голова
38934,ребенок
41354,сила
17093,конец
4600,вид
41512,система
49940,часть
8258,город
28287,отношение
11347,женщина
9394,деньги
13518,земля
20331,машина
5106,вода
28056,отец
35730,проблема
49915,час
34132,право
25281,нога
39386,решение
9010,дверь
26061,образ
15173,история
4911,власть
12242,закон
5388,война
2881,бог
8088,голос
46620,тысяча
16495,книга
5320,возможность
39114,результат
25392,ночь
44005,стол
14486,имя
25748,область
43802,статья
50280,число
16961,компания
22871,народ
11328,жена
8710,группа
37619,развитие
36814,процесс
44416,суд
47796,условие
43582,средство
23265,начало
40592,свет
33243,пора
37187,путь
10847,душа
47714,уровень
48723,форма
40765,связь
21022,минута
47323,улица
4351,вечер
15962,качество
21946,мысль
10426,дорога
20297,мать
9233,действие
20681,месяц
8390,государство
52007,язык
19631,любовь
4482,взгляд
19952,мама
4074,век
50857,школа
49680,цель
26317,общество
9596,деятельность
27408,организация
34499,президент
16946,комната
33402,порядок
21458,момент
45133,театр
30630,письмо
48057,утро
32974,помощь
41532,ситуация
39627,роль
39761,рубль
42361,смысл
43038,состояние
16012,квартира
27397,орган
5025,внимание
45238,тело
46371,труд
44790,сын
20605,мера
42241,смерть
39934,рынок
35880,программа
11965,задача
34400,предприятие
26863,окно
37693,разговор
34123,правительство
41097,семья
36097,производство
14836,информация
32653,положение
49705,центр
27928,ответ
21762,муж
207,автор
43861,стена
14731,интерес
48365,федерация
34117,правило
47627,управление
21780,мужчина
13915,идея
29266,партия
42556,совет
44736,счет
41181,сердце
9018,движение
4382,вещь
20243,материал
50402,чувство
23585,неделя
7788,глава
23168,наука
39984,ряд
7249,газета
35651,причина
30871,плечо
49687,цена
30713,план
39382,речь
45946,точка
27689,основа
45660,товарищ
18374,культура
8943,данные
21157,мнение
10209,документ
49293,ход
14671,институт
36011,проект
6167,встреча
9809,директор
43599,срок
29016,палец
27368,опыт
42133,служба
44453,судьба
9161,девушка
28865,очередь
18951,лес
43027,состав
50325,член
16719,количество
42530,событие
26347,объект
12333,зал
42683,создание
13674,значение
30263,период
50493,шаг
3222,брат
14985,искусство
44269,структура
35175,пример
25305,номер
15094,исследование
8442,гражданин
13864,игра
23266,начальник
39691,рост
45254,тема
35257,принцип
20748,метод
45556,тип
48549,фильм
17780,край
8382,гость
5281,воздух
49047,характер
3145,борьба
15050,использование
37900,размер
26067,образование
19936,мальчик
18076,кровь
38187,район
23366,небо
1155,армия
16316,класс
34430,представитель
48121,участие
9155,девочка
32541,политика
7623,герой
15794,картина
10271,доллар
43325,спина
45432,территория
32428,пол
32452,поле
14158,изменение
45521,течение
22762,направление
39451,рисунок
49758,церковь
1640,банк
44710,сцена
22938,население
3062,большинство
21788,музыка
34105,правда
40701,свобода
29054,память
16842,команда
43177,союз
5927,врач
10107,договор
9435,дерево
48244,факт
49317,хозяин
35383,природа
46948,угол
45222,телефон
32215,позиция
9039,двор
30605,писатель
40172,самолет
26357,объем
39520,род
42783,солнце
4163,вера
43240,спектакль
2243,берег
48591,фирма
43450,способ
11768,завод
49603,цвет
39792,руководитель
11543,журнал
43278,специалист
28836,оценка
38994,регион
30357,песня
36812,процент
39529,родитель
21565,море
46110,требование
27690,основание
32637,половина
39630,роман
18122,круг
43966,стихи
741,анализ
192,автомобиль
51340,экономика
19221,литература
3533,бумага
34076,поэт
43884,степень
8350,господин
22259,надежда
34324,предмет
20993,министр
3844,вариант
8482,граница
10833,дух
21298,модель
27140,операция
42832,сон
