,Unnamed: 0,Lemma,Roots
0,8015,год,['год']
1,49992,человек,['человек']
2,5955,время,['врем']
3,9304,дело,['дел']
4,11456,жизнь,['жи']
5,9392,день,['день']
6,39785,рука,['рук']
7,37505,раз,['раз']
8,37358,работа,['работ']
9,42086,слово,['слов']
10,20669,место,['мест']
11,19293,лицо,['лиц']
12,10701,друг,['друг']
13,7824,глаз,['глаз']
14,5558,вопрос,['вопрос']
15,10282,дом,['дом']
16,44072,сторона,['сторон']
17,44114,страна,['стран']
18,21031,мир,['мир']
19,42151,случай,['случ']
20,8055,голова,['голов']
21,38934,ребенок,['реб']
22,41354,сила,['сил']
23,17093,конец,['конец']
24,4600,вид,['вид']
25,41512,система,['систем']
26,49940,часть,['часть']
27,8258,город,['город']
28,28287,отношение,['нош']
29,11347,женщина,['жен']
30,9394,деньги,['деньг']
31,13518,земля,['земл']
32,20331,машина,['машин']
33,5106,вода,['вод']
34,28056,отец,['отец']
35,35730,проблема,['проблем']
36,49915,час,['час']
37,34132,право,['прав']
38,25281,нога,['ног']
39,39386,решение,['реш']
40,9010,дверь,['дверь']
41,26061,образ,['образ']
42,15173,история,['истори']
43,4911,власть,['власт']
44,12242,закон,['закон']
45,5388,война,['войн']
46,2881,бог,['бог']
47,8088,голос,['голос']
48,46620,тысяча,['тысяч']
49,16495,книга,['книг']
50,5320,возможность,['мож']
51,39114,результат,['результат']
52,25392,ночь,['ночь']
53,44005,стол,['стол']
54,14486,имя,['им']
55,25748,область,['облас']
56,43802,статья,['стать']
57,50280,число,['числ']
58,16961,компания,['компани']
59,22871,народ,['народ']
60,11328,жена,['жен']
61,8710,группа,['групп']
62,37619,развитие,['ви']
63,36814,процесс,['процесс']
64,44416,суд,['суд']
65,47796,условие,['услов']
66,43582,средство,['сред']
67,23265,начало,['ча']
68,40592,свет,['свет']
69,33243,пора,['пор']
70,37187,путь,['путь']
71,10847,душа,['душ']
72,47714,уровень,['ров']
73,48723,форма,['форм']
74,40765,связь,['вязь']
75,21022,минута,['минут']
76,47323,улица,['улиц']
77,4351,вечер,['вечер']
78,15962,качество,['качеств']
79,21946,мысль,['мысль']
80,10426,дорога,['дорог']
81,20297,мать,['мать']
82,9233,действие,['дей']
83,20681,месяц,['месяц']
84,8390,государство,['государ']
85,52007,язык,['язык']
86,19631,любовь,['люб']
87,4482,взгляд,['гляд']
88,19952,мама,['мам']
89,4074,век,['век']
90,50857,школа,['школ']
91,49680,цель,['цель']
92,26317,общество,['общ']
93,9596,деятельность,['де']
94,27408,организация,['орган']
95,34499,президент,['президент']
96,16946,комната,['комнат']
97,33402,порядок,['порядок']
98,21458,момент,['момент']
99,45133,театр,['театр']
100,30630,письмо,"['пись', 'м']"
101,48057,утро,['утр']
102,32974,помощь,['мощь']
103,41532,ситуация,['ситуаци']
104,39627,роль,['роль']
105,39761,рубль,['рубль']
106,42361,смысл,['мысл']
107,43038,состояние,['состоя']
108,16012,квартира,['квартир']
109,27397,орган,['орган']
110,5025,внимание,['вним']
111,45238,тело,['тел']
112,46371,труд,['труд']
113,44790,сын,['сын']
114,20605,мера,['мер']
115,42241,смерть,['смерть']
116,39934,рынок,['рын']
117,35880,программа,['программ']
118,11965,задача,['да']
119,34400,предприятие,['прия']
120,26863,окно,['окн']
121,37693,разговор,['говор']
122,34123,правительство,['прав']
123,41097,семья,['семь']
124,36097,производство,['производ']
125,14836,информация,['информ']
126,32653,положение,['полож']
127,49705,центр,['центр']
128,27928,ответ,['ответ']
129,21762,муж,['муж']
130,207,автор,['автор']
131,43861,стена,['стен']
132,14731,интерес,['интерес']
133,48365,федерация,['федер']
134,34117,правило,['прав']
135,47627,управление,['правл']
136,21780,мужчина,['муж']
137,13915,идея,['иде']
138,29266,партия,['парти']
139,42556,совет,['совет']
140,44736,счет,['чет']
141,41181,сердце,['сердц']
142,9018,движение,['движ']
143,4382,вещь,['вещь']
144,20243,материал,['матери']
145,50402,чувство,['чу']
146,23585,неделя,['недел']
147,7788,глава,['глав']
148,23168,наука,['ук']
149,39984,ряд,['ряд']
150,7249,газета,['газет']
151,35651,причина,['причин']
152,30871,плечо,['плеч']
153,49687,цена,['цен']
154,30713,план,['план']
155,39382,речь,['речь']
156,45946,точка,['точк']
157,27689,основа,['основ']
158,45660,товарищ,['товарищ']
159,18374,культура,['культур']
160,8943,данные,['да']
161,21157,мнение,['мнени']
162,10209,документ,['документ']
163,49293,ход,['ход']
164,14671,институт,['институт']
165,36011,проект,['проект']
166,6167,встреча,['встреч']
167,9809,директор,['дирек']
168,43599,срок,['срок']
169,29016,палец,['пал']
170,27368,опыт,['опыт']
171,42133,служба,['служ']
172,44453,судьба,['судьб']
173,9161,девушка,['дев']
174,28865,очередь,['очередь']
175,18951,лес,['лес']
176,43027,состав,['состав']
177,50325,член,['член']
178,16719,количество,['колич']
179,42530,событие,['бы']
180,26347,объект,['объект']
181,12333,зал,['зал']
182,42683,создание,['созда']
183,13674,значение,['знач']
184,30263,период,['период']
185,50493,шаг,['шаг']
186,3222,брат,['брат']
187,14985,искусство,['искусств']
188,44269,структура,['структур']
189,35175,пример,['пример']
190,25305,номер,['номер']
191,15094,исследование,['исследова']
192,8442,гражданин,['гражд']
193,13864,игра,['игр']
194,23266,начальник,['началь']
195,39691,рост,['рост']
196,45254,тема,['тем']
197,35257,принцип,['принцип']
198,20748,метод,['метод']
199,45556,тип,['тип']
200,48549,фильм,['фильм']
201,17780,край,['край']
202,8382,гость,['гость']
203,5281,воздух,['воздух']
204,49047,характер,['характер']
205,3145,борьба,['борь']
206,15050,использование,['польз']
207,37900,размер,['мер']
208,26067,образование,['образова']
209,19936,мальчик,['маль']
210,18076,кровь,['кровь']
211,38187,район,['район']
212,23366,небо,['неб']
213,1155,армия,['арми']
214,16316,класс,['класс']
215,34430,представитель,['став']
216,48121,участие,['участ']
217,9155,девочка,['дев']
218,32541,политика,['полит']
219,7623,герой,['герой']
220,15794,картина,['картин']
221,10271,доллар,['доллар']
222,43325,спина,['спин']
223,45432,территория,['территори']
224,32428,пол,['пол']
225,32452,поле,['пол']
226,14158,изменение,['мен']
227,45521,течение,['теч']
228,22762,направление,['направл']
229,39451,рисунок,['рис']
230,49758,церковь,['церковь']
231,1640,банк,['банк']
232,44710,сцена,['сцен']
233,22938,население,['сел']
234,3062,большинство,['больш']
235,21788,музыка,['музык']
236,34105,правда,['правд']
237,40701,свобода,['свобод']
238,29054,память,['память']
239,16842,команда,['команд']
240,43177,союз,['союз']
241,5927,врач,['врач']
242,10107,договор,['говор']
243,9435,дерево,['дерев']
244,48244,факт,['факт']
245,49317,хозяин,['хоз']
246,35383,природа,['природ']
247,46948,угол,['угол']
248,45222,телефон,"['теле', 'фон']"
249,32215,позиция,['позици']
250,9039,двор,['двор']
251,30605,писатель,['пис']
252,40172,самолет,"['сам', 'лет']"
253,26357,объем,['объем']
254,39520,род,['род']
255,42783,солнце,['солнц']
256,4163,вера,['вер']
257,43240,спектакль,['спектакль']
258,2243,берег,['берег']
259,48591,фирма,['фирм']
260,43450,способ,['способ']
261,11768,завод,['завод']
262,49603,цвет,['цвет']
263,39792,руководитель,['руковод']
264,11543,журнал,['журнал']
265,43278,специалист,['специал']
266,28836,оценка,['цен']
267,38994,регион,['регион']
268,30357,песня,['пе']
269,36812,процент,['процент']
270,39529,родитель,['род']
271,21565,море,['мор']
272,46110,требование,['требова']
273,27690,основание,['основ']
274,32637,половина,['половин']
275,39630,роман,['роман']
276,18122,круг,['круг']
277,43966,стихи,['стих']
278,741,анализ,['анализ']
279,192,автомобиль,"['авто', 'мобиль']"
280,51340,экономика,['эконом']
281,19221,литература,['литерат']
282,3533,бумага,['бумаг']
283,34076,поэт,['поэт']
284,43884,степень,['степень']
285,8350,господин,['господин']
286,22259,надежда,['надежд']
287,34324,предмет,['предмет']
288,20993,министр,['министр']
289,3844,вариант,['вари']
290,8482,граница,['границ']
291,10833,дух,['дух']
292,21298,модель,['модель']
293,27140,операция,['опер']
294,42832,сон,['сон']
295,29124,пара,['пар']
296,22391,название,['зв']
297,47364,ум,['ум']
298,31145,повод,['вод']
299,43718,старик,['стар']
300,20914,миллион,['миллион']
301,47846,успех,['успех']
302,44733,счастье,['счасть']
303,38941,ребята,['реб']
304,15300,кабинет,['кабинет']
305,36570,пространство,['стран']
306,19717,магазин,['магазин']
307,7083,выход,['ход']
308,47014,удар,['удар']
309,1510,база,['баз']
310,13664,знание,['зна']
311,45151,текст,['текст']
312,13366,защита,['защит']
313,39796,руководство,['руковод']
314,42699,сознание,['созна']
315,30935,площадь,['площадь']
316,5363,возраст,['раст']
317,48127,участник,['участ']
318,48129,участок,['участок']
319,37101,пункт,['пункт']
320,19164,линия,['лини']
321,11274,желание,['жела']
322,29101,папа,['пап']
323,10202,доктор,['доктор']
324,8748,губа,['губ']
325,10570,дочь,['дочь']
326,43551,среда,['сред']
327,34412,председатель,['председатель']
328,49536,художник,['худож']
329,34438,представление,['представл']
330,42754,солдат,['солдат']
331,5453,волос,['волос']
332,27506,оружие,['оружи']
333,42868,соответствие,['соответств']
334,4321,ветер,['ветер']
335,29180,парень,['парень']
336,13755,зрение,['зр']
337,7484,генерал,['генерал']
338,26503,огонь,['огонь']
339,44232,строительство,['стро']
340,33074,понятие,['поня']
341,48105,ухо,['ух']
342,8679,грудь,['грудь']
343,25353,нос,['нос']
344,44149,страх,['страх']
345,47809,услуга,['слуг']
346,42641,содержание,['содерж']
347,37492,радость,['рад']
348,2070,безопасность,['опас']
349,35983,продукт,['продукт']
350,16978,комплекс,['комплекс']
351,2545,бизнес,['бизнес']
352,40023,сад,['сад']
353,43079,сотрудник,['труд']
354,19031,лето,['лет']
355,18475,курс,['курс']
356,34321,предложение,['предлож']
357,39705,рот,['рот']
358,45514,технология,"['техн', 'лог']"
359,39347,реформа,['реформ']
360,28575,отсутствие,['сутств']
361,42471,собака,['собак']
362,15506,камень,['камень']
363,3461,будущее,['буд']
364,38560,рассказ,['сказ']
365,17264,контроль,['контроль']
366,39147,река,['рек']
367,35989,продукция,['продукц']
368,44512,сумма,['сумм']
369,45499,техника,['техн']
370,13450,здание,['здани']
371,44660,сфера,['сфер']
372,24125,необходимость,['необходим']
373,48704,фонд,['фонд']
374,31448,подготовка,['готов']
375,19199,лист,['лист']
376,39298,республика,['республик']
377,49325,хозяйство,['хозяй']
378,5509,воля,['вол']
379,3691,бюджет,['бюджет']
380,42401,снег,['снег']
381,9434,деревня,['деревн']
382,21772,мужик,['муж']
383,51545,элемент,['элемент']
384,26179,обстоятельство,['обстоятельств']
385,24024,немец,['нем']
386,30988,победа,['побед']
387,15177,источник,['источник']
388,13391,звезда,['звезд']
389,6330,выбор,['бор']
390,20185,масса,['масс']
391,15240,итог,['итог']
392,41257,сестра,['сестр']
393,34205,практика,['практ']
394,35772,проведение,['вед']
395,15765,карман,['карман']
396,41939,слава,['слав']
397,18537,кухня,['кухн']
398,27272,определение,['определ']
399,48934,функция,['функци']
400,5391,войско,['войск']
401,35168,применение,['примен']
402,16904,комиссия,['комисси']
403,15624,капитан,['капитан']
404,37363,работник,['работ']
405,25621,обеспечение,['обеспеч']
406,28751,офицер,['офицер']
407,48274,фамилия,['фамили']
408,34309,предел,['дел']
409,6337,выборы,['бор']
410,48151,ученый,['уч']
411,3608,бутылка,['бутыл']
412,2974,бой,['бой']
